houseKey|buildingKey|serviceLocationID|premiseKey|businessKey|billerLocationID|prsimId|addressLine1|addressLine2|streetNumber|addressFraction|preDirectional|streetName|suffix|postDirectional|unitDesignator|unitNumber|unitType2|unitNumber2|city|state|zipCode|zip4|censusBlock|confidence|latitude|longitude|rateCenter|taxGeocode|locationType|serviceabilityCode|serviceabilityFlag|DUNSNumber|dwellType|managementArea|region|tribalLandsIndicator|tentativeServiceDate|constructionMilestone|lotNumber|ruralProjectType|specialInitiativeName|billingControlArea|businessName|NASIC|RDOFIndicator|SIC
155201|19445467|3071526|1223734821|0|155201|NULL|208 S SYCAMORE ST|ARCANUM, OH 45304-1173 11|208||S|SYCAMORE|ST||||NULL|NULL|ARCANUM|OH|45304|1173|390375701022111|S8HPNTSCZA|39.987996|-84.556107|FORTBRANCH IN|NULL|0|NULL|1|NULL|SDU|Midwest Central|Southern Ohio|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
75240730000116|1640118|17131263|1091451226|2791419|75240730000116|NULL|5383 SOUTHERN BLVD APT 428| |5383|||SOUTHERN|BLVD||APT|428|NULL|NULL|DALLAS|TX|75240|7300|481130136262000|S8HPNTSCZA|32.936592|-96.816121|PALM SPG CA|441130760|0||1|048886340|MDU|North Texas|Texas|NULL|NULL|NULL|NULL|NULL|NULL|NULL|CHELSEA ON SOUTHERN||NULL|6513
90601372410080|106127198|9433787|105338975|0|90601372410080|NULL|6048 FRIENDS AVE| |6048|||FRIENDS|AVE||||NULL|NULL|WHITTIER|CA|90601|3724|060375015032012|S8HPNTSCZA|33.986714|-118.033527|WHITTIER CA|50373790|0|NULL|1|NULL|SDU|So Cal Central|West|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
1919100|23869076|10679445|123868107|0|1919100|NULL|1513 RIVER REACH DR APT 231|ORLANDO, FL 32828-5836|1513|||RIVER REACH|DR||APT|231|NULL|NULL|ORLANDO|FL|32828|5836|120950167271000|S5HPNTSCZA|28.560910|-81.199917|WINTERPARK FL|NULL|0|NULL|1|NULL|MDU|East Central Florida|Florida|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
78256167210074|7964960|11046955|1101089149|139758276|78256167210074|NULL|21502 GRANADA HL| |21502|||GRANADA|HL||||NULL|NULL|SAN ANTONIO|TX|78256|1672|480291819021028|S8HPNTSCZA|29.642917|-98.627020|SANANTONIO TX|440292570|0||1|105472675|SDU|South Texas|Texas|NULL|NULL|NULL|NULL|NULL|NULL|NULL|HEATHER FLINT||NULL|8049
96150833000019|112371654|7368166|1052189350|0|96150833000019|NULL|1342 SUSIE LAKE RD| |1342|||SUSIE LAKE|RD||||NULL|NULL|SOUTH LAKE TAHOE|CA|96150|8330|060170302004005|S8HPNTSCZA|38.935213|-119.959614|SOUTHTAHOE CA|50177600|0|NULL|1|NULL|SDU|Sierra Nevada|Northwest|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
3429805|20579739|5716334|1222221236|104407544|3429805|NULL|4761 WESTFALL RD|FRANKFORT, OH 45628-7509 75|4761|||WESTFALL|RD||||NULL|NULL|FRANKFORT|OH|45628|7509|391419557001048|S8HPNTSCZA|39.377991|-83.233193|FRANKFORT OH|NULL|0|NULL|1|011453478|SDU|Midwest Central|Southern Ohio|NULL|NULL|NULL|NULL|NULL|NULL|NULL|WELSH BROTHERS CNSTR LLC||NULL|1521
485088|137808111|16862942|1203902193|0|485088|NULL|91 JOHN RALPH LN|CHERAW, SC 29520-5475|91|||JOHN RALPH|LN||||NULL|NULL|CHERAW|SC|29520|5475|450259506003002|S8HPNTSCZA|34.619839|-79.880077|WALDEN NY|NULL|0|NULL|1|NULL|SDU|South Carolina|Carolinas|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
78229233010125|341073|16903626|110683400|0|78229233010125|NULL|7711 CALLAGHAN RD APT 404| |7711|||CALLAGHAN|RD||APT|404|NULL|NULL|SAN ANTONIO|TX|78229|2330|480291810041005|S8HPNTSCZA|29.508246|-98.556332|BELLEVILLE IL|440292570|0||1|NULL|MDU|South Texas|Texas|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
07657193605029|4043476|15820823|10899319|0|07657193605029|NULL|530 ART LN| |530|||ART|LN||||NULL|NULL|RIDGEFIELD|NJ|07657|1936|340030451002004|S8HPNTSCZA|40.827559|-73.996162|SUNBURY OH|310032110|0||1|NULL|SDU|Manhattan / Staten Is / Mt Ver|New York City|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
581135|2899619|19908808|121538216|0|581135|NULL|6500 KANSAS AVE LOT 68|KANSAS CITY, KS 66111-2338|6500|||KANSAS|AVE||LOT|68|NULL|NULL|KANSAS CITY|KS|66111|2338|202090440041015|S7HPNTSCZA|39.087662|-94.728743|GILLETTE WY|NULL|0|HOTTAP |1|NULL|MDU|Kansas City / Lincoln|Central|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
95076242710230|112565188|16990932|105172800|0|95076242710230|NULL|144 HOLM RD SPC 18| |144|||HOLM|RD||SPC|18|NULL|NULL|WATSONVILLE|CA|95076|2427|060871106001024|S8HPNTSCZA|36.924467|-121.788453|WILMINGTON OH|50873740|0|NULL|1|NULL|MDU|Sierra Nevada|Northwest|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
